title,price,description,img
Geely Monjaro,$ 30 500,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,15км",https://im.mashina.kg/tachka/images//1/7/3/17375717dbc42d90ac756df039c04e9a_240x180.jpg
EXEED VX,$ 31 500,"2023г.,2л.,роботвнедорожник5дв.,бензинрульслева,30км",https://im.mashina.kg/tachka/images//6/1/f/61f18ad7ec4cb4965527cb060642d041_240x180.jpg
LiXiang L9,$ 67 000,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//9/a/5/9a522a76eec21a46ae1ae0c0c7440942_240x180.jpg
Weltmeister EX5,$ 16 500,"2020г.,автоматвнедорожник5дв.,электрорульслева,5800км",https://im.mashina.kg/tachka/images//4/3/1/431966c91ecc37b55da9531bdf43dd75_240x180.jpg
BMW 5 серии,$ 51 000,"2020г.,3л.,автоматседан,бензинрульслева,23000км",https://im.mashina.kg/tachka/images//8/e/4/8e4890bfa3843bf0d28710d37d5ea499_240x180.jpg
LiXiang L9,$ 67 000,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,20км",https://im.mashina.kg/tachka/images//6/8/3/68336d8f42302a9100e5630ee26dc765_240x180.jpg
Subaru Ascent,$ 26 000,"2019г.,2.4л.,вариаторвнедорожник5дв.,бензинрульслева,10000км",https://im.mashina.kg/tachka/images//f/c/1/fc1e062080cf7d867dba8121e6bac19c_240x180.jpg
Hyundai Tucson,$ 17 000,"2018г.,2л.,автоматвнедорожник5дв.,дизельрульслева,57000км",https://im.mashina.kg/tachka/images//9/e/8/9e84f2087e32e51402fda7a4040bcbd5_240x180.jpg
Lexus NX,$ 29 800,"2017г.,2.5л.,вариаторвнедорожник5дв.,гибридрульслева,110000км",https://im.mashina.kg/tachka/images//6/6/e/66e72d45397798f648d9a499cf3c52c0_240x180.jpg
Toyota Camry,$ 25 900,"2021г.,2.5л.,автоматседан,бензинрульслева,20000км",https://im.mashina.kg/tachka/images//1/a/9/1a90b575adac188eb0288dab7a2ee7e3_240x180.jpg
Voyah Free,$ 42 500,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,10км",https://im.mashina.kg/tachka/images//e/9/8/e98f430c78c950f9ed3597157a37252c_240x180.jpg
LiXiang L9,$ 66 800,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,5км",https://im.mashina.kg/tachka/images//f/5/9/f59852dfc5d08990ee2893e3a8a35ebf_240x180.jpg
Toyota Land Cruiser,$ 45 000,"2015г.,4.5л.,автоматвнедорожник5дв.,дизельрульслева,160000км",https://im.mashina.kg/tachka/images//4/c/9/4c9f61ccf86b637f51c6049236f3c20d_240x180.jpg
Kia K5 II Седан,$ 12 500,"2015г.,2л.,автоматседан,газрульслева,176000км",https://im.mashina.kg/tachka/images//b/1/7/b176e5ba4d9b3b3a04480fb439ef942a_240x180.jpg
Kia K9,$ 50 000,"2022г.,3.8л.,автоматседан,бензинрульслева,28000км",https://im.mashina.kg/tachka/images//6/d/e/6de97f390923cd46472c85326c862ddb_240x180.jpg
Lexus LX,$ 178 500,"2023г.,3.4л.,автоматвнедорожник5дв.,бензинрульслева,15км",https://im.mashina.kg/tachka/images//4/c/e/4ce89d58c1d04b6a3ff1c03a08975953_240x180.jpg
BMW X7,$ 95 000,"2020г.,3л.,автоматвнедорожник5дв.,бензинрульслева,1000км",https://im.mashina.kg/tachka/images//2/a/8/2a8c54dda54a938ad1d30d1f3012886d_240x180.jpg
Land Rover Defender,$ 70 000,"2020г.,2л.,автоматвнедорожник5дв.,дизельрульслева,57000км",https://im.mashina.kg/tachka/images//3/0/f/30f6ab350759cbb2df37454043fb68b9_240x180.jpg
BMW X7,$ 90 000,"2019г.,3л.,автоматвнедорожник5дв.,дизельрульслева,110000км",https://im.mashina.kg/tachka/images//c/7/a/c7ab0e2a2c3a5def5f9c79c95fd30aaa_240x180.jpg
Land Rover Range Rover Sport,$ 69 000,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//4/a/8/4a847640368e54a5933aa49972147c01_240x180.jpg
Genesis GV80,$ 57 000,"2021г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,5000км",https://im.mashina.kg/tachka/images//8/a/7/8a719b56280e3c3fe61fac190c50c19a_240x180.jpg
Zeekr 001,"
                                                                                                    $
                                                                                                37 425
                                                                                            ","2023г.,автоматлифтбек,электрорульслева",https://im.mashina.kg/tachka/images//0/a/a/0aa3260f6555b15a6774efb9543c8ec1_240x180.jpg
BYD Song Plus,$ 25 334,"2023г.,автоматвнедорожник5дв.,электрорульслева",https://im.mashina.kg/tachka/images//4/9/1/49187916e97ed5813a08e8bf4c0dd3f3_240x180.jpg
Zeekr X,$ 26 674,"2023г.,автоматвнедорожник5дв.,электрорульслева",https://im.mashina.kg/tachka/images//3/a/9/3a948a03224fda71c51065de751f6c90_240x180.jpg
LiXiang L9,$ 56 589,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//a/9/e/a9ec096dff27e319735e9f83f6706719_240x180.jpg
Volkswagen ID.6,$ 34 000,"2022г.,автоматвнедорожник5дв.,электрорульслева,1км",https://im.mashina.kg/tachka/images//b/f/2/bf28391870cb44c0a34b12b4d04666b1_240x180.jpg
LiXiang L7,$ 41 985,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//2/3/0/230410b72847bbff95205b621f6ee33e_240x180.jpg
Changan UNI-K,"
                                                                                                    $
                                                                                                22 700
                                                                                            ","2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева",https://im.mashina.kg/tachka/images//d/c/6/dc6f79f288fe8b970764e3342f51277f_240x180.jpg
Voyah Free,"
                                                                                                    $
                                                                                                35 836
                                                                                            ","2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//0/d/7/0d75b1cba199b4e3d68162020c7d5359_240x180.jpg
BMW X5,$ 35 000,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,100000км",https://im.mashina.kg/tachka/images//a/2/0/a20f4ea8bf9c00fc2244d833a257b283_240x180.jpg
BMW X5,$ 64 900,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,97000км",https://im.mashina.kg/tachka/images//2/e/d/2edd718111ea352f016f672a8ba118aa_240x180.jpg
Toyota Camry,$ 20 900,"2017г.,2.5л.,автоматседан,бензинрульслева,140000км",https://im.mashina.kg/tachka/images//1/4/0/1400531540ba46652195bba8c62e1282_240x180.jpg
Toyota Camry,$ 42 000,"2020г.,3.5л.,автоматседан,бензинрульслева,36000км",https://im.mashina.kg/tachka/images//6/3/9/639454fdec16d7f8ecf6a93155568edb_240x180.jpg
Toyota Camry,$ 23 500,"2019г.,2.5л.,вариаторседан,гибридрульслева,109000км",https://im.mashina.kg/tachka/images//1/c/d/1cddc686fb6f3c2af113619d5af7936d_240x180.jpg
Mercedes-Benz E-класс,$ 12 500,"2002г.,5л.,автоматседан,бензинрульслева,133000км",https://im.mashina.kg/tachka/images//e/1/8/e18e0e2f0e8de38666733b566db5cccc_240x180.jpg
LiXiang L7,$ 57 500,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,10км",https://im.mashina.kg/tachka/images//d/1/2/d12c11a29b829bdece334435578ec8da_240x180.jpg
Voyah Free,$ 41 500,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,40км",https://im.mashina.kg/tachka/images//c/2/4/c24b64eea36ea1d0141676b83d0357dc_240x180.jpg
Toyota Camry,$ 28 100,"2017г.,2.5л.,вариаторседан,гибридрульслева,69000км",https://im.mashina.kg/tachka/images//0/3/e/03e13381ea691eea9ceaf89bca8862f3_240x180.jpg
BMW M3,$ 55 000,"2018г.,3л.,механикаседан,бензинрульслева,19000км",https://im.mashina.kg/tachka/images//d/d/7/dd7ad19ac79c85dc2b423d88fec5b7f5_240x180.jpg
BMW X3,$ 48 500,"2018г.,3л.,автоматвнедорожник5дв.,бензинрульслева,26000км",https://im.mashina.kg/tachka/images//f/8/c/f8c8204afa11f16ae5273a1b5702083f_240x180.jpg
Mercedes-Benz S-класс,$ 42 000,"2013г.,4.7л.,автоматседан,бензинрульслева,160000км",https://im.mashina.kg/tachka/images//8/e/5/8e5c1284a1fcd6be9e35c1f0018b21c5_240x180.jpg
Lexus LS,$ 11 500,"2007г.,4.6л.,автоматседан,бензинрульслева,190000км",https://im.mashina.kg/tachka/images//4/0/3/403f50cf82144d166de2ee79047b791d_240x180.jpg
Kia Sorento,$ 22 000,"2016г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,187694км",https://im.mashina.kg/tachka/images//2/d/d/2dd64f99237c63ed91ed65b5b9d6cf48_240x180.jpg
Voyah Free,$ 42 800,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,20км",https://im.mashina.kg/tachka/images//3/b/8/3b8996fc061913e06e73ef0dbca65740_240x180.jpg
LiXiang L9,$ 66 100,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,20км",https://im.mashina.kg/tachka/images//8/1/6/8162b0bc6f1c0f05701aef17fb460b05_240x180.jpg
Haval H5,$ 29 500,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,20км",https://im.mashina.kg/tachka/images//0/d/3/0d3039b4547dbe5bb8fe4e3e8a400b1b_240x180.jpg
BMW X5,$ 29 999,"2014г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,150000км",https://im.mashina.kg/tachka/images//c/c/6/cc6a8f7710795efb4e0e4ac969b5151c_240x180.jpg
Toyota Land Cruiser,$ 105 000,"2023г.,3.4л.,автоматвнедорожник5дв.,бензинрульслева,100км",https://im.mashina.kg/tachka/images//1/2/0/1204107cded866e9f1a5c0ad512496ab_240x180.jpg
